views,link_name,link,publ_time,topic
1848,"Бронирование квартир по программе ""Бакытты отбасы"" стартовало в Алматы",https://informburo.kz/novosti/bronirovanie-kvartir-po-programme-bakytty-otbasy-startovalo-v-almaty,"16 января 2023, 12:15",#официально
197,"Минимальная зарплата в Кыргызстане в 3,5 раза ниже прожиточного минимума",https://informburo.kz/novosti/minimalnaya-zarplata-v-kyrgyzstane-v-35-raza-nize-prozitocnogo-minimuma,"16 января 2023, 11:50",#неонас
2166,"Российская компания подала заявку на регистрацию товарного знака ""Вкусно – и точка"" в Казахстане",https://informburo.kz/novosti/rossiiskaya-kompaniya-podala-zayavku-na-registraciyu-tovarnogo-znaka-vkusno-i-tocka-v-kazaxstane,"16 января 2023, 11:45",#официально
440,"""Люди не воспринимают это всерьёз"": всплеск Covid-19 в США может представлять большой риск",https://informburo.kz/novosti/lyudi-ne-vosprinimayut-eto-vseryoz-vsplesk-covid-19-v-ssa-mozet-predstavlyat-bolsoi-risk,"16 января 2023, 11:41",#неонас
2331,Что происходит в Украине. Главное к утру 16 января,https://informburo.kz/novosti/cto-proisxodit-v-ukraine-glavnoe-k-utru-16-yanvarya,"16 января 2023, 08:11",#неонас
25465,"Организаторы конкурса ""Мисс Вселенная"" извинились за то, что представили участницу из Кыргызстана как казахстанку",https://informburo.kz/novosti/organizatory-konkursa-miss-vselennaya-izvinilis-za-to-cto-predstavili-ucastnicu-iz-kyrgyzstana-kak-kazaxstanku,"16 января 2023, 04:28",#видео
43633,Казахстанскую авиакомпанию оштрафовали на 600 тысяч тенге из-за голодного пассажира,https://informburo.kz/novosti/kazaxstanskuyu-aviakompaniyu-ostrafovali-na-600-tysyac-tenge-iz-za-golodnogo-passazira,"15 января 2023, 23:45",#кстати
1127,"В Думе РФ рассказали о том, как пройдёт весенний призыв 2023 года",https://informburo.kz/novosti/v-dume-rf-rasskazali-o-tom-kak-proidyot-vesennii-prizyv-2023-goda,"15 января 2023, 22:50",#неонас
620,Школьники Мангистауской области будут учиться дистанционно,https://informburo.kz/novosti/skolniki-mangistauskoi-oblasti-budut-ucitsya-distancionno,"15 января 2023, 21:50",#назаметку
2272,Что происходит в Украине. Главное за день 15 января,https://informburo.kz/novosti/cto-proisxodit-v-ukraine-glavnoe-za-den-15-yanvarya,"15 января 2023, 21:10",#неонас
1119,Прогноз погоды на 16 января: морозы сохраняются на юге Казахстана,https://informburo.kz/novosti/prognoz-pogody-na-16-yanvarya-morozy-soxranyayutsya-na-yuge-kazaxstana,"15 января 2023, 20:20",#назаметку
247,В Бангкоке и пригородах впервые за 30 лет подорожало такси,https://informburo.kz/novosti/v-bangkoke-i-prigorodax-vpervye-za-30-let-podorozalo-taksi,"15 января 2023, 19:30",#кстати
464,Открытый чемпионат Австралии по теннису в Мельбурне: кто из казахстанцев выйдет на корт первым,https://informburo.kz/novosti/otkrytyj-chempionat-avstralii-po-tennisu-v-melburne-kto-iz-kazahstancev-vyjdet-na-kort-pervym,"15 января 2023, 18:52",#кстати
2694,"Дорожный инцидент между начальником поезда, проводником и пассажиром: полиция проводит расследование",https://informburo.kz/novosti/doroznyi-incident-mezdu-nacalnikom-poezda-provodnikom-i-passazirom-policiya-provodit-rassledovanie,"15 января 2023, 18:23",#видео
318,Всего 66% контрактов СПК на овощи имеют юридическую силу,https://informburo.kz/novosti/vsego-66-kontraktov-spk-na-ovoshhi-imeyut-yuridiceskuyu-silu,"15 января 2023, 18:03",#официально
702,Президент Казахстана прибыл с официальным визитом в Объединённые Арабские Эмираты,https://informburo.kz/novosti/prezident-kazahstana-pribyl-s-oficialnym-vizitom-v-obuedinyonnye-arabskie-emiraty,"15 января 2023, 17:21",#официально
16501,Умер грузинский актёр Вахтанг Кикабидзе,https://informburo.kz/novosti/umer-gruzinskii-aktyor-vaxtang-kikabidze,"15 января 2023, 16:35",Написать автору
401,В аэропорты Узбекистана разрешили пускать встречающих,https://informburo.kz/novosti/v-aeroporty-uzbekistana-razresili-puskat-vstrecayushhix,"15 января 2023, 16:02",#неонас
1660,Полиция задержала пятерых человек по подозрению в поджоге автомобиля Динары Егеубаевой,https://informburo.kz/novosti/policiya-zaderzhala-pyateryh-chelovek-po-podozreniyu-v-podzhoge-avtomobilya-dinary-egeubaevoj,"15 января 2023, 15:11",#официально
278,В Шымкенте на предприятии сгорели три тонны макулатуры,https://informburo.kz/novosti/v-symkente-na-predpriyatii-sgoreli-tri-tonny-makulatury,"15 января 2023, 14:38",#видео
1010,Крушение самолёта в Непале: никто не выжил,https://informburo.kz/novosti/krusenie-samolyota-v-nepale-nikto-ne-vyzil,"15 января 2023, 13:47",#видео
27378,В двух областях из-за непогоды закрыли участки дорог,https://informburo.kz/novosti/v-dvux-oblastyax-iz-za-nepogody-zakryli-ucastki-dorog,"15 января 2023, 13:17",#назаметку
37833,Сколько стоит рубль в обменниках Казахстана 15 января,https://informburo.kz/novosti/skolko-stoit-rubl-v-obmennikah-kazahstana-15-yanvarya,"15 января 2023, 12:32",#назаметку
